,tweet,class,processed_tweet
21,""" cancel that bitch like Nino """,1,cancel that bitch like nino
22,""" cant you see these hoes wont change """,1,can not you see these hoe will not change
23,""" fuck no that bitch dont even suck dick "" &#128514;&#128514;&#128514; the Kermit videos bout to fuck IG up",1,fuck no that bitch do not even suck dick the kermit video bout to fuck ig up
24,""" got ya bitch tip toeing on my hardwood floors "" &#128514; http://t.co/cOU2WQ5L4q",1,get ya bitch tip toe on my hardwood floor 128514
25,""" her pussy lips like Heaven doors "" &#128524;",1,her pussy lip like heaven door 128524
26,""" hoe what its hitting for """,1,hoe what its hit for
27,""" i met that pussy on Ocean Dr . i gave that pussy a pill "" &#128524;",1,i meet that pussy on ocean dr i give that pussy a pill 128524
28,""" i need a trippy bitch who fuck on Hennessy """,1,i need a trippy bitch who fuck on hennessy
29,""" i spend my money how i want bitch its my business """,1,i spend my money how i want bitch its my business
30,""" i txt my old bitch my new bitch pussy wetter """,1,i txt my old bitch my new bitch pussy wetter
31,""" i'd say im back to the old me but my old bitches would get excited "" &#128524;",1,i would say i m back to the old i but my old bitch would get excite 128524
32,""" if you aint bout that Murder Game pussy nigga shut up """,1,if you be not bout that murder game pussy nigga shut up
33,""" if you're toes ain't done you pussy stinks """,1,if you be toe be not do you pussy stink
34,""" im done with bitter bitches its a wrap for that . if you a angry bird theres a app for that """,1,i m do with bitter bitch its a wrap for that if you a angry bird there s a app for that
35,""" is that ya bitch """,1,be that ya bitch
36,""" it aint nothing to cut a bitch off """,1,it be not nothing to cut a bitch off
37,""" jus meet son now he ya mane ass bitches "" #Shots",1,jus meet son now he ya mane ass bitch shot
38,""" lames crying over hoes thats tears of a clown """,1,lame cry over hoe that s tear of a clown
39,""" like Snoop said in 94 we dont love these hoes """,1,like snoop say in 94 we do not love these hoe
40,""" momma said no pussy cats inside my doghouse """,2,momma say no pussy cat inside my doghouse
41,""" most hated but the hoes favorite "" #2MW #SevenOne # http://t.co/BMdSVMc3rC",1,most hate but the hoe favorite 2mw sevenone
42,""" nice girls bad, make me get naughty. Bad yello hoe, real nice body. Down south chick, like em real thick"" http://t.co/bzRDl3kF7U",1,nice girl bad make i get naughty bad yello hoe real nice body down south chick like em real thick
43,""" pimps up pimps up hoes down "" Future voice",1,pimp up pimp up hoe down future voice
44,""" post a picture of that pussy get 200 likes """,1,post a picture of that pussy get 200 like
45,""" pussy is a powerful drug "" &#128517; #HappyHumpDay http://t.co/R8jsymiB5b",1,pussy be a powerful drug 128517 happyhumpday
46,""" quick piece of pussy call it a drive by """,1,quick piece of pussy call it a drive by
47,""" running round here like some brand new pussy thats bout to get fucked """,1,run round here like some brand new pussy that s bout to get fuck
48,""" these bitches even worst they'll send them guys for you """,1,these bitch even bad they will send they guy for you
49,""" these hoes like niggas that spend money not talk bout it """,1,these hoe like niggas that spend money not talk bout it
50,""" we dont trust these niggas all these bitches """,1,we do not trust these niggas all these bitch
51,""" yall niggas b cuffing hoes cause yall aint never have bitches """,1,you all niggas b cuff hoe cause you all be not never have bitch
52,""" you dodge a bullet "" &#128517; &#8220;@DaRealKha: ""All da bitches I cut off pregnant or bound to be ....thank God &#128591;""&#8221;",1,you dodge a bullet 128517 all da bitch i cut off pregnant or bind to be thank god
53,""" young Pill Chamberlain these bitches love my music """,1,young pill chamberlain these bitch love my music
54,"""&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;@VandalSavage_: Teanna Trump probably cleaner than most of these twitter hoes but.........""",1,teanna trump probably clean than most of these twitter hoe but
55,"""&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;@DaHomieFuzz: Gay niggas couldn't wait to act like bitches tonight""",1,gay niggas could not wait to act like bitch tonight
56,"""&#128514;&#128514;&#128514;@The_Paradox: And ima steal his cat n replace it with a pitbull &#128514;&#128514;&#128514;&#128514; RT @80sbaby4life: @The_Paradox He a bitch you should do it""",1,and i m a steal his cat n replace it with a pitbull rt he a bitch you should do it
57,"""&amp; he's gone always be a hoe""",1,amp he be go always be a hoe
58,"""...Son of a bitch took my Tic Tacs.""

I like this movie.",1,son of a bitch take my tic tacs i like this movie
59,"""..All I wanna do is get money and fuck model bitches!"" - Russell Simmons",1,all i wanna do be get money and fuck model bitch russell simmons
60,"""@2015seniorprobs: I probably wouldn&#8217;t mind school as much if we didn&#8217;t have to deal with bitch ass teachers"". Retweet",1,i probably mind school as much if we have to deal with bitch ass teacher retweet
61,"""@A7XDemery: I'm a fucking fag they said""",1,i be a fucking fag they say
62,"""@ARIZZLEINDACUT: Females think dating a pussy is cute now? http://t.co/VxBJg26Gsz"" how does doing this stuff make him a pussy?",1,female think date a pussy be cute now how do do this stuff make he a pussy
63,"""@Addicted2Guys: -SimplyAddictedToGuys http://t.co/1jL4hi8ZMF"" woof woof hot scally lad",2,woof woof hot scally lad
64,"""@AdoreBellaaa: Have ya ever asked your bitch for other bitches - kanye voice"" Yes",1,have ya ever ask your bitch for other bitch kanye voice yes
65,"""@AdoreZoey: How u gone bring ur side bitch to a game where You know Ya gf friends at ?! &#128553;&#128553;&#128553;&#128553;"" I SWEAR!!!!!",1,how u gone bring ur side bitch to a game where you know ya gf friend at i swear
66,"""@AllAboutManFeet: http://t.co/3gzUpfuMev"" woof woof and hot soles",2,woof woof and hot sol
67,"""@Allyhaaaaa: Lemmie eat a Oreo &amp; do these dishes."" One oreo? Lol",2,lemmie eat a oreo amp do these dish one oreo lol
68,"""@Almightywayne__: @JetsAndASwisher @Gook____ bitch fuck u http://t.co/pXmGA68NC1"" maybe you'll get better. Just http://t.co/TPreVwfq0S",1,bitch fuck u maybe you will get well just
69,"""@Almightywayne__: Fuck Red Malone man bitch ass niggah"" could you please use complete sentences?",1,fuck red malone man bitch ass niggah could you please use complete sentence
70,"""@ArizonasFinest6: Why the eggplant emoji doe?""y he say she looked like scream lmao",2,why the eggplant emoji he say she look like scream lmao
71,"""@AutoWorId: Hennessey Venom GT &#128584; http://t.co/i8eGMnKaJ9"" that's one sexy bitch",1,hennessey venom gt 128584 that be one sexy bitch
72,"""@BOSSBYTCHH: Him seh me pussy wetter then a shower curtain....#ahmesehwetness""&lt;lmao!!",1,him seh i pussy wetter then a shower curtain
73,"""@BRO_HEN314: #Eaglesnation and every #Eagles need to see that pic I just posted because that bitch just said the most racist shit""",1,eaglesnation and every eagle need to see that pic i just post because that bitch just say the most racist shit
74,"""@BVSEDCHINK: Yo fuck skateboarding, all y'all some wood pushing faggots man, ball is life http://t.co/VBCzP6HMT7""
@AmJemieBenn",1,yo fuck skateboard all you all some wood push faggot man ball be life
75,"""@BabyAnimalPics: baby monkey bathtime http://t.co/7KPWAdLF0R""
Awwwwe! This is soooo ADORABLE!",2,baby monkey bathtime awwwwe this be soooo adorable
76,"""@BaylaaGottaBody: &#128514;&#128514;&#128514;&#128514; I ain't shit ."" Damn Skippy lol",1,i be not shit damn skippy lol
77,"""@BeEasyJrizzy: u ever kill a ant on the sidewalk and think damn what if that nigga was on his way to get some pussy""No bs must b &gt;30%chance",1,u ever kill a ant on the sidewalk and think damn what if that nigga be on his way to get some bs must b
78,"""@BeenBasedB: @_KudaBrazyy http://t.co/LuUBGL9Y5u"" 0 rings 0 mvps 0 bitches lol",1,0 ring 0 mvps 0 bitch lol
79,"""@BeenFLYnSolo: ppl talk bad about the ghetto/hood ... but as a kid growing up, a nigga had funnnnnnn !""",1,ppl talk bad about the ghetto hood but as a kid grow up a nigga have funnnnnnn
80,"""@BestProAdvice: The facts on tattoos...tattoo http://t.co/ZwnbhpDZ8e"" he's a pussy with not tattooing them nipples",1,the fact on tattoo tattoo he be a pussy with not tattoo they nipple
81,"""@Bill215_: &#128175;&#128175;&#128175; RT @nel_ayden Bitches be wanting to act like niggas so bad &#128553;&#128553;&#128553; that shit aint cuteeeee"" but niggas act like bitches..",1,rt bitches be want to act like niggas so bad that shit be not cuteeeee but niggas act like bitch
82,"""@BitchJones92: Get worshiping bitch! http://t.co/R37CejCjou"" woof woof",1,get worship bitch woof woof
83,"""@BlackChiquitita: Wow. RT @thatmanpalmer I'm lost. Are those buttcheek piercings? http://t.co/yn6guyOUQ6"" yeah she's a hoe",1,wow rt i be lose be those buttcheek piercing yeah she be a hoe
84,"""@BlackNerdJade: Ok, sis."" She'd rather be a broke bitch? *shrugs* she'll have to tell me how it works for her",1,ok sis she would rather be a broke bitch shrug she will have to tell i how it work for her
85,"""@Blackman38Tide: @WhaleLookyHere @HowdyDowdy11 queer"" gaywad",0,queer gaywad
86,"""@BrokenPiecesmsc: @ItsNotAdam faggot read my tweets after dat k"" it wasn't even funny lol",1,faggot read my tweet after dat k it be not even funny lol
87,"""@BrosConfessions: This bitch was so ungrateful http://t.co/06e77bGwbx"" fr ..... LULWHORE",1,this bitch be so ungrateful fr lulwhore
88,"""@CASHandBOOBIES: I been kidnapped yo bitch""",1,i been kidnap yo bitch
89,"""@CB_Baby24: @white_thunduh alsarabsss"" hes a beaner smh you can tell hes a mexican",0,alsarabsss he s a beaner smh you can tell he s a mexican
90,"""@CCobey: @AydanMcCoy happy birthday nigs"" Thanks yo",1,happy birthday nig thank yo
91,"""@CHlLDHOODRUINER: when ur teacher tells u that u have homework https://t.co/RKk5vawIj1"" this bitch need to go!!!",1,when ur teacher tell u that u have homework this bitch need to go
92,"""@CaelanG15: ""@22EdHam: @CaelanG15 that nigga was eating that hoe lol"" Hell Yea lol john Paul"" nigga said john paul.. http://t.co/OSIpBKPr9h",1,that nigga be eat that hoe lol hell yea lol john paul nigga say john paul
93,"""@CanIFuckOrNah: What would y'all lil ugly bald headed bitches do if they stop making make-up &amp; weave?""",1,what would you all lil ugly bald headed bitch do if they stop make make up amp weave
94,"""@CarelessOne92: Leafs better win this damn game so I can go riot and shit #EarlyChristmas"" you better start looting my nig",1,leafs well win this damn game so i can go riot and shit earlychristmas you well start loot my nig
95,"""@CauseWereGuys: Going back to school sucks more dick than the hoes who attend it.""",1,go back to school suck more dick than the hoe who attend it
96,"""@CauseWereGuys: On my way to fuck yo bitch http://t.co/j906T5zE2R"" me as a 9 year old",1,on my way to fuck yo bitch i as a 9 year old
97,"""@CeleyNichole: @white_thunduh how come you never bring me food"" i dont have a car retard",1,how come you never bring i food i do not have a car retard
98,"""@ChadMFVerbeck: If Richnow doesn't show up with hella tinder hoes Im not his friend anymore"" chill I brought like like 8 prople",1,if richnow do not show up with hella tinder hoe i m not his friend anymore chill i bring like like 8 prople
99,"""@ChandlerParsons: How bout them Cowboys!!!!"" Shutup pussy",1,how bout they cowboys shutup pussy
100,"""@ClicquotSuave: LMAOOOOOOOOOOO this nigga @Krillz_Nuh_Care http://t.co/AAnpSUjmYI"" &lt;bitch want likes for some depressing shit..foh",1,lmaooooooooooo this nigga want like for some depressing shit foh
101,"""@Coley_Cee: @lil_aerii girl you know I was spitting that G shit to you &amp; you was going lbvs""bitch plz",1,girl you know i be spit that g shit to you amp you be go plz
102,"""@Coley_Cee: Let me make a couple tweets off cuzzo page, so I won't get in twitter jail.""lmao bitch don't trick me again",1,let i make a couple tweet off cuzzo page so i will not get in twitter jail bitch do not trick i again
103,"""@ComedyPosts: Harlem shake is just an excuse to go full retard for 30 seconds.""",1,harlem shake be just an excuse to go full retard for 30 second
104,"""@ComedyTruth: amen miley &#128591; http://t.co/P2Kb2tfyxr""okay, but she don't need to act like a hoe just bc she's ""emotionally damaged"" foh",1,aman miley 128591 but she do not need to act like a hoe just bc she be emotionally damage foh
105,"""@CoryBandz: having one loyal female is wayyyyy better than having hoes , idc &#128175;""",1,have one loyal female be wayyyyy well than have hoe idc 128175
106,"""@Crhedrys: Pussy licking pussy.... meow meow #StopWhitePeople2014 &#128049; https://t.co/KeegDCjS5K&#8221;""""""""

&#128533;",1,pussy lick pussy meow meow stopwhitepeople2014 128049 128533
107,"""@DBAB_Holloway: Check out our 12th man. #CowboysNation"" even with all those faggot ny fans in the stands",1,check out our 12th man cowboysnation even with all those faggot ny fan in the stand
108,"""@DGotBricks: What happen to them vixen ent bitches"" they got ran and threw to the side like a foothill bitch",1,what happen to they vixen ent bitch they got run and throw to the side like a foothill bitch
109,"""@DaeDaviDavie: @white_thunduh im the bitch okay nudes pat &#128554;&#128527;&#128056;"" wow",1,i m the bitch okay nude pat wow
110,"""@DevilGrimz: @VigxRArts you're fucking gay, blacklisted hoe"" Holding out for #TehGodClan anyway http://t.co/xUCcwoetmn",0,you be fucking gay blacklist hoe hold out for tehgodclan anyway
111,"""@DiamondLoudKush: The fuck be wrong with these bitches?"" Nobody knows",1,the fuck be wrong with these bitch nobody know
112,"""@Dietrich1892: Yall shut up:p"" make me bitch",1,yall shut up make i bitch
113,"""@DionaIrish: I hate a ""I'm pregnant"" type of bitch.""",1,i hate a i be pregnant type of bitch
114,"""@DoYou_Q: Got bitches in the DM but I don't ever read'em"" which is y your top 3",1,get bitch in the dm but i do not ever which be y your top 3
115,"""@DomWorldPeace: Baseball season for the win. #Yankees"" This is where the love started",2,baseball season for the win yankee this be where the love start
116,"""@Dommoneek: Little stupid as bitch I don't fuck with yoooooouuuu..""",1,little stupid as bitch i do not fuck with yoooooouuuu
117,"""@DreadheadAri: she really asked me that dead ass serious tho, all i could say was ""bitch wheet"" LOL",1,she really ask i that dead ass serious tho all i could say be bitch wheet lol
118,"""@DunderbaIl: I'm an early bird and I'm a night owl, so I'm wise and have worms.""",2,i be an early bird and i be a night owl so i be wise and have worm
119,"""@EdgarPixar: Overdosing on heavy drugs doesn't sound bad tonight."" I do that pussy shit every day.",2,overdose on heavy drug do not sound bad tonight i do that pussy shit every day
120,"""@El_Grillo1: Pit Bulls Photographed As Lovely Fairy Tale Creatures http://t.co/Q0Sm89oOLh&#8221;

They *are* fairy tale creatures.",2,pit bull photograph as lovely fairy tale creatures they be fairy tale creature
121,"""@Ferocious_Ghost: @1stName_Bravo Aw."" ...fag, don't tweet ""aw"" to me lol",1,aw fag do not tweet aw to i lol
122,"""@FloKid88: As long as the Lakers trash from now on, I could careless. And that's real."". CC: @BENBALLER hahaha",2,as long as the lakers trash from now on i could careless and that be real cc hahaha
123,"""@Frosstyy_: @h0rheyd I didn't say anything tho"" kiss me then faggot",1,i do not say anything tho kiss i then faggot
124,"""@FunnyPicsDepot: this the ""I play soccer, cheat on girls, and wear khaki coloured cargos"" haircut http://t.co/ZUai7qWBIR"" &#128514; yup",2,this the i play soccer cheat on girl and wear khaki coloured cargo haircut 128514 yup
125,"""@G27Status: I could go for a fat ass bitch on my lap"" same",1,i could go for a fat ass bitch on my lap same
126,"""@GEDMelle: 17 missed calls!!!! &#128544;&#128545;""Das yo P.O bitch twitter finna be screamn #FreeMoneyMelle",1,17 miss call yo bitch twitter finna be screamn freemoneymelle
127,"""@GTM_Al: Ya side bitch gotta know it's rules to this shit..anybody ask you my cousin from jersey thinkin bout moving"" lmmfao &#128514;&#128514;&#128514;&#128514;",1,ya side bitch get to know it be rule to this shit anybody ask you my cousin from jersey thinkin bout move lmmfao
128,"""@GagaTom1: &#8220;@MaleFoot: 3 | Amo los pies http://t.co/4QE1hDkK8i&#8221;"" fuck yeah",1,3 amo los pie fuck yeah
129,"""@GirlThatsVonte: These hoes be thinking Meat won't slap they ass &#128564;&#128075;"" ainna bruh",1,these hoe be think meat will not slap they ass ainna bruh
130,"""@GirlThatsVonte: Yall bitches wit no edges be doing the most talking &#128553;&#128564;&#9995;""&#128514;&#128514;&#128514;",1,yall bitch wit no edge be do the most talking
131,"""@GirlThatsVonte: Yall still going trick or treating this year or nah?""hell yeah ima be da sweet tooth bandit steal bitches bags n shit",1,yall still go trick or treat this year or yeah i m a be da sweet tooth bandit steal bitch bag n shit
132,"""@Girllssues: I wanna have sex with my mom fuck her right in that pussy where I came from"" damn you got hacked like fuck",1,i wanna have sex with my mom fuck she right in that pussy where i come from damn you got hack like fuck
133,"""@Gizzy_Jones94: If she kiss u with her eyes open watch that bitch!""lmfao",1,if she kiss u with her eye open watch that
134,"""@Goofstroop: You a woulda coulda shoulda ass hoe &#128563;&#128586;""",1,you a woulda coulda shoulda ass hoe
135,"""@Gotti_LTF: Happy Bday Bitch Ass Nigga @JetsAndASwisher""preciate that bitch roll up!",1,happy bday bitch ass nigga that bitch roll up
136,"""@HBMostDope: @1Jayee @PipinHoes used to send that bitch up""",1,use to send that bitch up
137,"""@HBMostDope: Ugly bitches be like I'm my own WCW duh bitch you ain't nobody elses&#128514;&#128514;""",1,ugly bitch be like i be my own wcw duh bitch you be not nobody
138,"""@HaloTGMG: @1stName_Bravo nigga you know we hacky sack hoes."" ...nah, I throw no look passes lmao",1,nigga you know we hacky sack hoe nah i throw no look pass lmao
139,"""@HeartlessFuck: Glad I'm getting outta Atlanta. Nothing but a bunch of niggas in &amp; outta jail &amp; dumb bitches with mad kids fuckin em.""",1,glad i be get outta atlanta nothing but a bunch of niggas in amp outta jail amp dumb bitch with mad kid fuckin em
140,"""@HermosaAlma: This isn't ghetto.....it's smart https://t.co/MPAzQ3Jswf"" I'm doing this idc",2,this be not ghetto it be smart i be do this idc
141,"""@HiImJoriB: I would wife a hoe only cuz we wouldn't care that we cheating in each other."" ...why force the relationship in the first place?",1,i would wife a hoe only cuz we would not care that we cheat in each other why force the relationship in the first place
142,"""@HornyFacts: Being single isn't an excuse to be a hoe."" @TheOneMiss_Luu",1,be single be not an excuse to be a hoe
143,"""@HoskinsTy96: White boy power bitch"" black power bitch",1,white boy power bitch black power bitch
144,"""@Hudgens_11: Lets get drunk, get blowed, spit shit spark blunts &amp; fuck hoes!"" Bro white dudes have no chill.",1,lets get drunk get blow spit shit spark blunt amp fuck hoe bro white dude have no chill
145,"""@IScoutGirls: @verbally_abrupt bitch where u been"" Around the world and back. Where you been?",1,bitch where u be around the world and back where you be
146,"""@ItsYahBoiRay: @anelylove if I don't get my dick sucked at yo party by a bad bitch I'm fr gone set it off &#128514;&#128514;&#128514;&#128514;"" *by @anelylove *",1,if i do not get my dick suck at yo party by a bad bitch i be fr go set it off by
147,"""@Itsyesie: #oomf is soooo cute. But he probably has hoes on him a lot.""",1,oomf be soooo cute but he probably have hoe on he a lot
148,"""@JAYten9: In every cartoon theirs alway a @_nuffsaid15 saving these hoes lmao. http://t.co/9uKD8wtZ6x"" lmao damn captain SaveAHoe",1,in every cartoon theirs alway a save these hoe lmao lmao damn captain saveahoe
149,"""@JReebo: Who wants to get there nose in these bad bois then #scally #chav #sockfetish #stinking http://t.co/FeQxgN0W6I"" hot sox and legs",2,who want to get there nose in these bad bois then scally chav sockfetish stink hot sox and leg
150,"""@JamesyNBA: I wish I was a bitch like my brother keezy &#128530;"" ooooow I bet you do",1,i wish i be a bitch like my brother keezy 128530 ooooow i bet you do
151,"""@JasminePore: If you dressed up as a cat for Halloween you are basic."" ...or a pussy",1,if you dress up as a cat for halloween you be basic or a pussy
152,"""@Jewelxo: Can pornhub just get a gaming stream feature so these dumb bitches can gtfo"" @Pornhub get on it Katie&lt;3",1,can pornhub just get a gaming stream feature so these dumb bitch can gtfo get on it
153,"""@JoeBudden: stop being scared to choke her during sex u bitch ass niggas. She&#8217;ll like it."". Says the guy who hits women out of bed. FOH",1,stop be scared to choke she during sex u bitch ass niggas like it say the guy who hit woman out of bed foh
154,"""@Johnny55Perez: @white_thunduh ha well iguess I make them hoes loyal bro"" theyll never be loyal that y they hoes my nig",1,ha well iguess i make they hoe loyal bro they ll never be loyal that y they hoe my nig
155,"""@KazAtta: @1TAKEHOV Oh man.. ""its 5 am, you off a molly, ho where the fuck ya seed at??"""" #fixed",1,oh man its 5 am you off a molly ho where the fuck ya seed at fix
156,"""@KelsieBelsi: You're not a man if you refer to every girl as a bitch""",1,you be not a man if you refer to every girl as a bitch
157,"""@KeyshawnSwag: Lmfao this cat started beating the shit out of me"" my nigga finally got some pussy?!? MY NIGGA!!!",1,lmfao this cat start beat the shit out of i my nigga finally get some pussy my nigga
158,"""@KeyshawnSwag: Peel up peel up bring it back up rewind back where I'm from they move Shaq from the line"" ooooow who tf said that trash!!?",2,peel up peel up bring it back up rewind back where i be from they move shaq from the line ooooow who tf say that trash
159,"""@KingCuh: @16stanleys io io alu record ho vine sai pe hahahaha"" lol anywaaaaaays..... haha",1,io io alu record ho vine sai pe hahahaha lol anywaaaaaay haha
160,"""@KingHendo95: @VonDreaam naw it's my old tape. new cover . my upcoming mixtape is #KingOfTheHill"" Yeah I'm waiting on that hoe Mayne!",1,naw it be my old tape new cover my upcoming mixtape be kingofthehill yeah i be wait on that hoe mayne
161,"""@KingTeej_: Ol dirty foot ass bitches.."" this was too funny to me.",1,ol dirty foot ass bitch this be too funny to i
162,"""@King_Shawn_6: @white_thunduh that's where I get my yellow flags for being amazing &#128079;&#128524;"" HELL YEAH NIGGY",1,that be where i get my yellow flag for be amazing hell yeah niggy
163,"""@KissMySmilee: Don't got time for bitches to be actin iffy.""",1,do not get time for bitch to be actin iffy
164,"""@KnightfanNeal #UCFPINKPARTY come on stay alive knights nation!!!!"" This is still the early bird special. #ComeAtMeUT",2,ucfpinkparty come on stay alive knight nation this be still the early bird special comeatmeut
165,"""@KyraNadiya_: These hoes ain't loyal ; no they ain't http://t.co/h1UBsVbkGl""

Smfh &amp; wonder why nobody decent wants them",1,these hoe be not loyal no they be not smfh amp wonder why nobody decent want they
166,"""@LCisTJ: Bruh, you studs keep thinking I'm soft as hell. Ask ya girl how many times she screamed she was my bitch. Oh okay. STFU."" BYE HOE!",1,bruh you stud keep think i be soft as hell ask ya girl how many time she scream she be my bitch oh okay stfu bye hoe
167,"""@LODYCASH: dry pussy bitches always blame it on the condom&#128514;""&#128079;&#128514;&#128079;&#128514;",1,dry pussy bitch always blame it on the
168,"""@LUNAraps: shut yo bitch ass up! https://t.co/IemN1u0gm5"" &#128557;&#128514;",1,shut yo bitch ass up
169,"""@LaFlareGodJosh: Gucci Mane in jail and dropping mixtapes every month and you hoes can't even text back""",1,gucci mane in jail and drop mixtape every month and you hoe can not even text back
170,"""@Latrobemark: You love these hoes more then money wats wrong these niggas""",1,you love these hoe more then money wat wrong these niggas
171,"""@LeBronVuitton: A loyal bitch from the burbs without daddy issues is like finding a holographic Mewtwo."" ...sounding like me over there lol",1,a loyal bitch from the burb without daddy issue be like find a holographic mewtwo sound like i over there lol
172,"""@LiLFridayHOE: Easy cum, easy hoe"" That's a fact !",1,easy cum easy hoe that be a fact
173,"""@LifeAsBros: Charlie Sheen is too real http://t.co/gGGdK3kOV7"" major fucking respect for Charlie Sheen.",1,charlie sheen be too real major fucking respect for charlie sheen
174,"""@Lightskingawdd: Wish I had a bae &#128533;""

You got all the hoes tho",1,wish i have a bae 128533 you get all the hoe tho
175,"""@Lil_Mike_12: Fuck twerking bitch can you cook ?""",1,fuck twerke bitch can you cook
176,"""@Linniekravitz: @WesGodLaFlare bitch wtf"" http://t.co/DaSmycxODB",1,bitch wtf
177,"""@Lipe_the_Great: &#8220;@h0rheyd: ""@Lipe_the_Great: Shut up zoe"" fight me pussy&#8221; for zoe? I'm good, man."" You are good ma'am. Move along now",1,shut up zoe fight i for zoe i be good man you be good move along now
178,"""@LolaaIsDope: Lmao fucking snake bitches"" @ em",1,lmao fucking snake bitch em
179,"""@Loveable_Aizah: Big booty hoes everywhere sheesh &#128525;"" damn &#127807;&#128064;&#127807;",1,big booty hoe everywhere sheesh 128525 damn
180,"""@MLBNetwork: Stay tuned to @MLBNetwork for an update on the report that @Yankees 1B @teixeiramark25 will be out 8-10 weeks"" @dliming35 #bum",2,stay tune to for an update on the report that 1b will be out 8 10 week bum
181,"""@M_Rad: &#8220;@DezDLT: ""I play soccer, cheat on girls, and wear khaki coloured cargos"" haircut http://t.co/tYCIhD6PkW&#8221; yes lmfao""@soccerboy_04",2,i play soccer cheat on girl and wear khaki coloured cargo haircut yes
182,"""@MadFlyentist: Oregon chokes every year get off the field trash ass program"" RFT",1,oregon choke every year get off the field trash ass program rft
183,"""@MannyDiesel: Def not cowboy lol RT @ArtofFloyd: Terrell Owens was the best Eagle &amp; Cowboy ever"" ..dude cried like a bitch on tv, over Romo",1,def not cowboy lol rt terrell owens be the good eagle amp cowboy ever dude cry like a bitch on tv over romo
184,"""@MarkRoundtreeJr: LMFAOOOO I HATE BLACK PEOPLE https://t.co/RNvD2nLCDR"" This is why there's black people and niggers",0,lmfaoooo i hate black people this be why there be black people and nigger
185,"""@Master11_: @20ToLife_ @GabrielaStarr How could u do this to me bitch"" potent",1,how could u do this to i bitch potent
186,"""@MaxMayo77: http://t.co/3Jk4kR44X3"" a pissed lad past out. I would lick his dirty soles while he slept.",2,a pissed lad past out i would lick his dirty sol while he sleep
187,"""@MaxMayo77: http://t.co/PrrskknqRv"" love frat boy w/ soft long soles",2,love frat boy soft long sol
188,"""@MaxMayo77: http://t.co/XpSC3makgJ"" sexy lad with hot soles and arches.",2,sexy lad with hot sol and arch
189,"""@MegamindNick: @white_thunduh nah fam I gotta cheat with the hoes"" depends on the female i feel",1,nah fam i get to cheat with the hoe depend on the female i feel
190,"""@Mesha_nojas: @_Vontethekidd &#128079;&#128079;&#128079;&#128079;&#128588;"" I got hicks lol",2,i get hick lol
191,"""@Migsmichelen: This new twitter is confusing the shit out of me."" Go back to south america bitch",1,this new twitter be confuse the shit out of i go back to south america bitch
192,"""@Miikito_x3: Toto means ass or vagina?""I think pussy cause toto santi is like nasty pussy",1,toto mean ass or think pussy cause toto santi be like nasty pussy
